claim,label
"No, el Gobierno no se ha equivocado e ingresado 3000 euros en unas ""tarjetas solidarias"" para ""familias gitanas"": el autor del vídeo ha reconocido que se lo inventó",fake
¿Qué sabemos sobre los respiradores que el Gobierno de Castilla-La Mancha compró a una empresa turca?,fake
"No,  esta frase sobre el confinamiento por el coronavirus y los países europeos no es de Arturo Pérez Reverte",fake
"No,  este email sobre medidas tributarias por la Covid-19 para evitar la suspensión del negocio no es de la Agencia Tributaria: es 'phishing'",fake
¿Qué sabemos sobre el vídeo del nacimiento de un bebé dentro de su bolsa amniótica cuya madre supuestamente tiene COVID-19?,fake
Falta mucho trecho para saber si la ivermectina cura la Covid-19,fake
"No,  no hay evidencias de que el vapor de eucalipto acabe con el coronavirus",fake
"No,  esta imagen en la que miembros del Gobierno están hablando sin respetar la distancia social no es actual: es del pasado 30 de enero",fake
"No,  los autónomos beneficiarios de la prestación extraordinaria por cese de actividad no tienen que devolver la cuantía abran o no el 4 de mayo",fake
Es falso el mensaje que alerta que comercios de Veracruz cerrarán por coronavirus,fake
El uso prolongado de la mascarilla produce hipoxia,fake
"Esta cadena de WhatsApp difunde ""cuidados"" por COVID-19: qué sí es real y que no",fake
Coronavirus no ha llegado a Venezuela como se afirma en redes sociales y cadena de WhatsApp,fake
"No,  no se confirmó un caso de Coronavirus en Santiago del Estero",fake
Es falso que se confirmó un caso de Coronavirus en Chaco,fake
Es falso que un médico argentino descubrió y está aplicando una vacuna contra el coronavirus en España,fake
"No,  comerciante de El Hueco no está internado en hospital de Medellín ‘con síntomas del coronavirus’",fake
Es falso que una farmacéutica haya creado el coronavirus,fake
"No,  no hay pruebas de que la vitamina C y el agua con limón prevengan el coronavirus",fake
No ha habido 10.000 muertes por coronavirus en Wuhan,fake
El clorito de sodio no cura el coronavirus y es peligroso para la salud,fake
"No,  no hay pruebas de que Bill Gates sea el propietario de la patente del brote del nuevo coronavirus iniciado en China",fake
"No, este vídeo de un mercado no está grabado en Wuhan (China) ni es el escenario donde se ha ""propagado el coronavirus"": el vídeo está grabado en Indonesia y es de julio de 2019",fake
"No, la OMS no ha pedido evitar tener ""sexo sin protección con animales"" para evitar el contagio de coronavirus: es una imagen manipulada",fake
FALSETA: Paciente sospechoso de coronavirus murió el martes 28 de enero,fake
"No, el Ministerio de Sanidad español no ha emitido ninguna ""notificación de emergencia"" sobre que ""el brote"" de coronavirus es ""muy grave y mortal"", a fecha de 29 de enero de 2020",fake
El coronavirus no ha llegado a Cúcuta,fake
"No,  ni una dieta alcalina previene el coronavirus ni lo ha dicho el TEC de Monterrey",fake
"No, no hay pruebas de que este vídeo sea de un médico desmayándose ""mientras opera al coronavirus""",fake
"No, no hay pruebas de que haya ""más de 1.500 muertos"" por el coronavirus iniciado en Wuhan (China), a fecha de 31 de enero de 2020",fake
Es falsa la cadena del Departamento de Salud de Canadá sobre cómo prevenir el coronavirus,fake
Científicas italianas no fueron las primeras en aislar el coronavirus en Europa #Datoscoronavirus,fake
"No,  el Ministerio de Sanidad no ha enviado una cadena de WhatsApp con recomendaciones contra el coronavirus que pide protegerse con mascarilla",fake
"No,  tanque de Postobón no se infectó con coronavirus",fake
"Cuidado con el audio que alerta sobre la presencia de '3.000 ilicitanos' en la feria del calzado de Milán: no hay ningún caso confirmado de coronavirus en Elche y Sanidad no ha emitido ninguna alarma al respecto,  a fecha del 02/03/2020",fake
"No, no hay un ""primer caso de coronavirus"" en el barrio de La Hispanidad (Huelva) a 10 de febrero de 2020",fake
Es falso que beber agua caliente previene el coronavirus Covid-19,fake
Por qué sí hay peligro de transmisión del coronavirus si besas la mano de una virgen o santo,fake
"No, ""un vecino de Noia"" no ha sido contagiado por el coronavirus, a fecha de 10 de febrero: no es un contenido real de 'La Voz de Galicia' y en España por el momento sólo se han detectado dos casos de contagio, uno en La Gomera (Canarias) y otro en Mallorca",fake
No se han reportado casos de coronavirus en Monagas ni en La Guajira colombiana #Datoscoronavirus,fake
"No, no se ha detectado un caso de coronavirus ""en la localidad alicantina de San Vicente del Raspeig"", a fecha de 10 de febrero: no es un artículo real de 'El País' y en España en España por el momento sólo se han detectado dos casos de contagio, uno en La Gomera (Canarias) y otro en Mallorca",fake
"No, el Ministerio de Sanidad no está enviando cartas donde ""recomienda no suministrar productos provenientes de"" China",fake
Papa Francisco da positivo para coronavirus,fake
Remedio casero para el coronavirus ,fake
Israel encontró la cura para el COVID-19,fake
Yaku Pérez busca curar el coronavirus con medicina ancestral,fake
Quito es la segunda cuidad con mas alta probabilidad de contagio,fake
En redes sociales circula una noticia en la cual manifesta que ladrones disfrazados de médicos de las Cruz Roja Ecuatoriana usan el #COVID-19 como excusa para entrar a las casas y robar,fake
Cadena en WhatsApp asegura que el médicos italianos recomiendan quitarse los zapatos al llegar a casa,fake
No existen casoss de contagio en Israel porque toman bebidas calientes,fake
"La Feria Nacional de San Marcos 2020,  celebrada en abril en México,  no ha sido cancelada por el nuevo coronavirus",fake
Respirar al aire de Guayaquil provoca contagio de COVID19,fake
Lenín Moreno se niega a pedir ayuda a China,fake
"No,  no se ha confirmado un caso de nuevo coronavirus en Andorra a 9 de febrero de 2020: no es un artículo real de 'La Vanguardia'",fake
Audio sobre avión en cuarentena por COVID-19 en Guaviare es falso,fake
"No,  un portal de noticias chino no ha filtrado que hay más de 24.000 muertos por coronavirus",fake
¡Atención¡ El Eucalipto no cura el coronavirus,fake
Ministro Cárdenas no dijo que estudiantes repetirán el año,fake
"Cuidado con la cadena que afirma sin pruebas que el coronavirus ""fue liberado por el Partido Comunista Chino"" y que es una mezcla de VIH y tuberculosis",fake
"No,  estas personas asiáticas no están cortando un bebé para comérselo: fotos que se están relacionando con la comunidad china y el brote del nuevo coronavirus",fake
"Uno de los medicamentos para tratar el coronavirus sí es cubano,  pero no ha curado 1.500 personas #Datoscoronavirus",fake
El video falso sobre coronavirus (Covid-19) en Ibagué,fake
El error que apuntó al pangolín como posible transmisor de coronavirus,fake
Video muestra comercios abiertos en un Centro Comercial de Quito en plena emergencia sanitaria,fake
Gobierno ruso libera a 800 tigres y leones para que rusos acaten curantena,fake
La cura para el coronavirus es hidroxicloroquina y azitromicina,fake
No hay ningún paciente con coronavirus en el Hospital Militar de Maracay #datoscoronavirus,fake
Es falso que 1 millón 500 mil personas estén infectadas por coronavirus #datoscoronavirus,fake
FALSO que 19 hinchas de Tigres se infectaron de Covid-19 en NY,fake
FALSETA: La cuarentena termina el 15 de Mayo,fake
No hay multitud en Bogotá esperando avión de Wuhan,fake
Queman cadáver en las esquinas de Tulcán y Cristóbal Colón en Guayaquil,fake
No se ha confirmado caso de covid-19 en hospital San Rafael de Bogotá,fake
Toque de queda 24 horas en Guayaquil  ,fake
"No,  el mono que aparece en esta foto encadenado y con agujas no está siendo inyectado con coronavirus para probar una vacuna con Remdesivir",fake
La periodista Janet Hinostroza firmó un contrato de comunicación para el Gobierno,fake
Cifras del Covid19 por parroquias en Pichincha,fake
El Covid19 no se reproduce si se hace gárgaras con sal cuatro veces al día,fake
Pongan todo a cargar porque Coca Codo Sinclair dejó de trabajar,fake
Desabastecimiento de alimentos en Guayaquil,fake
En Ecuador tiran los ccuerpos de los infectados mar adentro,fake
El Covid-19 no es una enfermedad respiratorio,fake
El Washington Post publicó que el COVID-19 fue hecho en un laboratorio chino,fake
Descretan aislamiento total en la provincia de Guayas,fake
Presos liberados durante la pandemia: es engañoso el posteo que compara a la Argentina con otros países,fake
Es falso que toda persona que ha salido a la calle y respirado unos segundos ya esté contagiada con Covid-19,fake
Debido a la baja contaminación del aire se ve la Torre de Kamisama,fake
Mentolatum en la nariz y luego la mascarilla evita contagio de COVID-19,fake
Se roban la ccomida de la ayuda alimentaria en camiones de Supermercados TIA,fake
Supuesto video de paciente con coronavirus en Talca había sido difundido en Honduras,fake
Un perro fue puesto en cuarentena en Hong Kong tras dar positivo por el nuevo coronavirus,fake
"No, no hay pruebas de que ""enjuagarse la garganta con agua salada"" antes de ir a lugares públicos prevenga el contagio del coronavirus",fake
"Cuidado con el PDF de una patente que circula relacionada con un coronavirus: es del SARS,  no del COVID-19",fake
¿El coronavirus se puede curar con un té de plantas medicinales? #DatosCoronavirus,fake
"No,  no se está entregando una tarjeta alimentaria de 550, 65 ₤ para personas en riesgo de exclusión social durante la cuarentena por coronavirus: es un caso de 'phishing'*",fake
"Apps de rastreo de contactos que funcionan con bluetooth,  no geolocalización: ¿qué tienen que ver Google y Apple con ellas?",fake
Los falsos consejos para negarse a una futura vacuna que se mueven por el coronavirus: la vacunación en España no es obligatoria y si se impusiera no son válidos,fake
Circulan tarjetas apócrifas de la Secretaría del Bienestar,fake
¿Qué sabemos acerca del vídeo en el que dos médicos de California critican el confinamiento contra el coronavirus?,fake
¿Hidroxicloroquina para tratar COVID-19?: no hay evidencia concluyente,fake
Una residencia gallega no ha “tirado a la basura” material donado por Amancio Ortega,fake
El estudio francés sobre la nicotina y el COVID19 es preliminar y las autoridades insisten: fumar tabaco no protege del coronavirus,fake
El falso mensaje que indica que “consumir alimentos más alcalinos” ayuda a “subir el nivel de pH” para contrarrestar la COVID-19,fake
Venezolanos se organizan en Quito para desafiar aa autorides en plena emergencia sanitaria,fake
El COVID-19 es inmune a PH alcalino superior a 5.5,fake
El COVID-19 debe tratado como una trombosis,fake
Otto Sonnenholzer renunció a la Vicepresidencia,fake
FBI arrestó a profesor en Boston por crear el COVID-19,fake
No es verdad que haya muerto un vecino de Cerceda (Galicia) «en extrañas circunstancias»,fake
"No,  el Gobierno no ha permitido la celebración del Orgullo LGTBI en Madrid a pesar del coronavirus: se va a celebrar online",fake
Nobel de Medicina Tasuku Honjo no dijo que China creó el nuevo coronavirus,fake
Es engañoso el posteo sobre la compra de respiradores por parte de la Provincia de Buenos Aires,fake
Es falso que la OMS alertó sobre que India y China exportan mascarillas con coronavirus,fake
"A VER,  TÓSALE: ESTE HOMBRE NI ENCONTRÓ LA CURA DEL COVID-19 NI ES DOCTOR,  ES UN ACTOR PORNO",fake
Es falso que Irene Montero y Pablo Iglesias tengan dos UVIs móviles en la puerta de su casa,fake
En Santa Marta no está anclado este buque proveniente de China,fake
La alcaldesa de Guayaquil Cynthia Viterí nuncca se contagió de COVID-19,fake
Ofrecen cadáveres de víctimas de COVID-19 a los buitres en Asia,fake
Tecnología 5G es usada como arma electromagnética y COVID-19 es excusa para instalar tecnología ,fake
Fundación de Bill Gates y ssu esposa Melina es un ccentro para reducir la población,fake
Gobierno de Ecuador pedió a CNN despido de Fernando del Rincón,fake
En Italia por fin se encontró la cura para el Coronavirus,fake
"Detector: No,  en Barranquilla no se han confirmado 30 casos de coronavirus",fake
"No,  en España la policía no impidió a ciudadanos ir a misa para rezar contra el coronavirus",fake
El vídeo manipulado de Irene Montero «tosiendo» en la manifestación del 8-M,fake
El mensaje que afirma que las aseguradoras dejan de cubrir accidentes de tráfico por el coronavirus es falso,fake
EFE no ha publicado que el Gobierno multe con 300.000 € cambiar de Comunidad Autónoma,fake
Detector a la teoría conspirativa de la vacuna obligatoria y el ID 2020,fake
"No,  la COVID-19 no es un exosoma y la pandemia no se relaciona con las señales de 5G",fake
La foto de Alberto Fernández junto a empresarios no fue tomada durante la cuarentena,fake
Vladimir Putin habla en el Kremlin de la reducción de la población,fake
Club Bildelberg y Bill Gates tienen un plan de esparccir el COVID-19 a través de antenas 5G,fake
¿Gobierno publicó plan de cuatro fases para la flexibilización de la cuarentena? ,fake
Ojo con estas 16 recetas falsas contra la Covid-19: no caigas en ellas,fake
Es falso que el Covid-19 sea causado por una bacteria en vez de un virus y que pueda tratarse con Apronax y aspirinas,fake
¿Heparina para tratar COVID-19? Publicaciones usan información fuera de contexto,fake
NADA DE PRETEXTOS: ES FALSO QUE USAR CUBREBOCAS CAUSA HIPOXIA,fake
ES FALSO QUE EN ITALIA HAN MUERTO 232 NIÑOS POR EL CORONAVIRUS,fake
Italia elimina 230 diputados,fake
Cadena que alerta estado de emergencia por Covid-19 es de España,fake
Sonnenholzer renunciará si Juan Sebastián Roldán asume Presidencia,fake
Video de aeropuerto de la CDMX saturado no es reciente y no tiene relación con el coronavirus,fake
Lenín Moreno se va del país,fake
Caen desplomadas personas en la calles de sector La Bahía de Guayaquil por ssegunda ola de COVID-19,fake
Jeanine Áñez no tiene coronavirus,fake
TWEET QUE DICE QUE “UNA PERSONA PUEDE TRANSMITIR LA COVID-19 EN CUANTO DESARROLLA SÍNTOMAS” ES ENGAÑOSO,fake
ES FALSO QUE EN MÉXICO EXTRAIGAN EL LÍQUIDO DE LAS RODILLAS A PACIENTES CON COVID-19,fake
ES FALSO QUE EL USO PROLONGADO DE LA MASCARILLA CAUSA HIPOXIA,fake
ES FALSO QUE ITALIA HAYA DADO DE ALTA A MÁS DE 14.000 PACIENTES RECUPERADOS DE COVID-19 EN UN DÍA,fake
ES FALSO QUE BILL GATES VA A IMPLANTAR MICROCHIPS CON TECNOLOGÍA 5G COMO VACUNA CONTRA EL CORONAVIRUS,fake
Es falso que el uso o abuso de mascarillas pueda producir hipoxia,fake
"No,  la imagen no muestra una vacuna contra la COVID-19 creada en 2001,  sino a una vacuna canina",fake
Coronavirus: Aún no hay cura pero el remdesivir es un medicamento que están probando,fake
Conaie y Lenín Moreno firmaron pacto de no agresión,fake
La Símbalina es la cura contra el COVID-19,fake
Ministra Creamer anunció despidos de docentes ecuatorianos para contratar venezolanos,fake
Instalada antenas 5G en Colombia para esparcir el COVID-19,fake
Plan de vacunación masiva coontra COIV-19 es un programa que busca reducción masiva de población,fake
Estudiantes de medicina ecuatorianos crean enfermedad mientras buscaban cura al COVID-19,fake
BULO! CIRCULA CADENA SOBRE PREVENCION EN GUATEMALA,fake
ES FALSO QUE EL MINISTERIO DE SALUD HAYA OCULTADO UN CASO DE COVID-19 EN AMATITLÁN,fake
ESTE DELFÍN NO APARECIÓ EN LOS CANALES DE VENECIA DURANTE EL AISLAMIENTO POR COVID-19,fake
La Comunidad de Madrid no ha habilitado el 915038030 para pedir recetas de medicamentos,fake
El falso mensaje sobre las medidas de Mercadona por la crisis del COVID-19,fake
Ortega Smith no ha dicho: “Prefiero tener coronavirus que homosexualismo”,fake
"Detector: No,  hacer vaporizaciones con agua hirviendo no elimina el Covid-19",fake
The New York Times Niega La Autoría del Video que Elogia La Gestión de Giammattei,fake
"El padre de Pablo Iglesias no está ingresado el Hospital Clínico de Salamanca,  la foto es de 2016",fake
No hay denuncias sobre ladrones disfrazados de médicos y enfermeras entrando a casas con la excusa de hacer pruebas de coronavirus,fake
No hay sanitarios que vayan a inspeccionar casas ni a requisar monedas y billetes,fake
Es falso que Carmena haya recibido un respirador en su casa «por no acudir a un hospital público»,fake
Notificaciones de exposición al COVID-19: qué sson y por qué son y por qué no tienes que preocuparte si ves este sistema en tu móvil,fake
¿Pueden los perros oler el coronavirus? Se los está entrenado pero por ahora no hay resultados,fake
El Gobierno español sabe dónde esstan sus ciudadanos gracias a una aplicación de COVID-19 de Google que ha instalado sin que informar en los teléfonos Android,fake
"La vacuna contra la COVID-19 estará lista en Septiembre de 2020,  terminando asi la especulación de que la vacuna no estaría disponible hasta 2021",fake
La empresa brasilera de transporte Itapemirim declaró la quiebra durante la pandemia de COVID-19,fake
El número de muertes por COVID-19 en Ceará no disminuyó debido a una operación de la Policía Militar,fake
La Policía Militar disparó a surfista en playa de Fortaleza,fake
Violencia policial en cuarentena: radiografía de muertes y denuncias de hostigamiento,fake
Coronavirus: un audio en WhatsApp exagera el número de casos en Prevent Senior,fake
Es falso que Lagarde dijo: “Los ancianos viven demasiado y eso es un riesgo para la economía global”,fake
El audio falso sobre cuarentena en Cali,fake
Version de Petro de que el Peru ha nacionalizado las clinicas es falsa,fake
¿Personas con sangre tipo A son más propensas al COVID-19?,fake
¿Un médico egipcio elaboró un suero para tratar el COVID-19?,fake
¿Unicef decretó a Maracaibo como ciudad libre de coronavirus?,fake
NADA DE DYLAN COVID: NO BAUTIZARON A NINGÚN NIÑO COMO EL NUEVO CORONAVIRUS,fake
Un perro fue puesto en cuarentena en Hong Kong tras dar positivo por el nuevo coronavirus,fake
Atribuyen a El Deber una noticia falsa sobre Karen Longaric,fake
Cuidado con el mensaje que avisa de una suspensión laboral por el coronavirus: es una broma,fake
Coronavirus: dos desinformaciones sobre Marcelo Tinelli y Federico Bal se volvieron virales,fake
El curso no se alarga hasta el 31 de julio en Valencia ni la Selectividad será del 10 al 12 de agosto,fake
Mejor piénsalo dos veces: La OMS nunca recomendó cuarentena a todos los países,fake
La película fue llamada “Virus” para el mercado hispano y no trata del nuevo coronavirus,fake
La mezcla de aspirina y limón cura el nuevo coronavirus,fake
El agua alcalina mata el nuevo coronavirus,fake
El uso de mascarillas pueda producir hipoxia,fake
"Pedro Sánchez: ""Llevamos dos días sin fallecidoos por el COVID""",fake
"No existen vacunas caseras contra el coronavirus,  son correos maliciosos",fake
El hospital de la Arrixaca no ha pedido ayuda a los ciudadanos para confeccionar mascarillas,fake
"Los supermercados que abren a las 07h00 a mayores de 65 años están en Argentina,  no en España",fake
"No,  no es el dueño de Swiss Medical quien hizo recomendaciones contra el coronavirus por WhatsApp",fake
No ha sido aprobado el ‘medicamento nosodes para COVID-19 desarrollado en Barranquilla',fake
¿Fake news o denuncia? Aparece autor del video donde se habla de un caso de Covid-19 en La Paz,fake
"No,  video no confirma caso de Coronavirus (Covid-19) en Cali",fake
"No,  no han cerrado el ambulatorio de El Cachorro de Sevilla por un posible afectado por coronavirus",fake
Bolsonaro publica video en Twitter con información falsa sobre el desabastecimiento de Ceasa en Minas Gerais,fake
"En Twitter,  Osmar Terra publica información falsa sobre Covid-19 en los Países Bajos",fake
"No,  el informe médico del Hospital General Universitario Santa Lucía de Cartagena (Murcia) que diagnostica a una persona una infección por coronavirus no es actual: es de una cepa de un coronavirus anterior",fake
"El mapa de emisiones de dióxido de azufre en Wuhan muestra una previsión de la NASA,  no índices actuales",fake
"No,  en Sincelejo no han ‘confirmado’ caso de coronavirus (Covid-19)",fake
"El coronavirus y las teorías conspiratorias: las vacunas,  los 'chemtrails' y el 5G",fake
"No,  la Comunidad de Madrid no ha comunicado que las clases suspendidas por el coronavirus serán recuperadas en verano: es un montaje",fake
"No,  El Mundo no ha publicado un artículo que afirma que la Consejería de Educación de Madrid aplaza la convocatoria de la EvAU al 18 de junio: es un montaje",fake
"No,  Cristina Pedroche no ha dicho que “si llegamos a mil infectados de Coronavirus en España os enseño una teta”: es un contenido 'satírico' que se viraliza como real",fake
Es engañoso que Ginés González García dijo que no había posibilidad de que exista el coronavirus en la Argentina,fake
Coronavirus: es falsa la cadena de la doctora “González Ayala” que circula por WhatsApp,fake
Audio con recomendaciones sobre COVID-19 no es de voz de Rodolfo Llinás,fake
Es falso. El Deber no publicó ninguna nota relacionada con el Coronavirus y la hoja de coca,fake
Alcalde de Buga no dijo que 'hay que vivir cada día como si fuera el último',fake
Túneles desinfectantes no eliminan '99% de los virus',fake
"No es cierto que un pH mayor a 5, 5 'contrarreste' el COVID-19",fake
Coronavirus no es un exosoma y tampoco es producto de la contaminación electromagnética,fake
"Este video no es de bogotanos rompiendo la cuarentena,  es del 21N",fake
"No,  beber agua de mar no evita contagio de coronavirus",fake
El número de muertes por COVID-19 en Ceará (Brasil) no disminuyó debido a una operación de la Policía Militar,fake
¿Qué sabemos sobre la circular que alerta sobre ladrones que se hacen pasar por personal sanitario que realiza pruebas de coronavirus para robar en las casas en Madrid? Ni Policía Nacional ni Policía Municipal tienen constancia de denuncias,fake
"No,  Fernando Simón no ha dicho que “lo mejor es infectarse ahora [con el coronavirus] porque luego no habrá camas para todos”: es un contenido 'satírico' que se viraliza como real",fake
"No, no hay pruebas de que RTVE haya publicado ""un mapa ilustrando los casos de coronavirus en España cuando en realidad se trata de un mapa del tamaño medio de pene por comunidades""",fake
Subsidios para coronavirus: qué pasó con el ccaso Golombek y qué dice la Ley de Ética Pública,fake
Fotos de cuerpos en una playa no son de ‘muertos por COVID-19 arrojados al agua en Ecuador’,fake
Mapa del DANE no muestra número de contagiados con COVID-19 por manzana,fake
Video de médicos californianos que hablan de coronavirus está repleto de datos falsos e imprecisos,fake
No es una circular del hospital de Ibiza para “engordar” las cifras de contagios por COVID-19: es una nueva clasificación para bajas laborales,fake
Fragmentos de SARS-CoV-2 hallados agua no potable son inocuos,fake
Video de 'paciente con coronavirus' perseguido por la prensa no es de México,fake
Este vídeo ni es de Rodolfo Llinás ni los pulmones con coronavirus tienen un 50% de fibrosis con los primeros síntomas,fake
"Mezclar aspirina,  paracetamol,  miel y limón cura el COVID-19",fake
"Un tratamiento casero,  para curar el coronavirus",fake
Un video de Milagro Sala bailando con un grupo de personas durant la cuarentena,fake
"Horacio Rodríguez Larreta (jefe de Gobierno de la Ciudad de Buenos Aires, Argentina): ""La edad promedio de los fallecidos en la Ciudad es de 76.3 años y de los mayores de 80 que se contagion, casi 1 de cada 4 fallece""",fake
No están fumigando los parques en Adra “con venenos muy fuertes” contra el coronavirus,fake
"AMLO sí dijo “hay que abrazarse”,  pero antes de que la OMS declarara pandemia al nuevo coronavirus",fake
"No,  gobierno no está entregando 350.000 pesos por quedarse en casa",fake
"“Descubrieron,  [...] en el Hospital Rebagliati,  que todo el piso del 10 A se ha contagiado [de coronavirus] y lo han cerrado”.",fake
Pruebas positivas de SARS-Cov-2 en pacientes recuperados no han demostrado reinfección,fake
"No,  no hay pruebas de que este vídeo de un aprovisionamiento masivo sea del hogar de un musulmán en España por coronavirus",fake
"No,  esta lámpara ultravioleta no elimina el coronavirus de tus dispositivos en cinco segundos",fake
"No, el vicepresidente de Estados Unidos, Mike Pence, no ""ha donado cajas vacías de EPI"" a un centro de salud",fake
Diputada Quispe: EE. UU. creó el ántrax,fake
"No,  José María Aznar no se ha saltado el confinamiento para asistir a una charla de Isabel Díaz Ayuso: la sesión se celebra online",fake
Es falso que cantar y aplaudir en los balcones sea un riesgo de contagio de COVID-19,fake
Es falso que saldrían liberados 1.900 reclusos de la cárcel de Devoto a partir del lunes,fake
El vídeo de las bolsas de cadáveres en el suelo no está grabado en España,fake
Cuidado con el mensaje que avisa de que se permiten las salidas al monte porque no constituyen una aglomeración de personas: es una broma,fake
"No,  Adidas no está donando zapatillas en una campaña contra el coronavirus",fake
"No,  no se puede solicitar una ayuda alimentaria por el coronavirus a través de la URL que aparece en esta cadena",fake
"No,  consumir dióxido de cloro no cura el coronavirus y es peligroso para la salud",fake
"No,  no murió en el Hospital Muñíz un médico llamado “Marcos Vargas” por atender pacientes con COVID-19",fake
"Detector: No,  las vaporizaciones con ingredientes naturales no son la cura para el Covid-19",fake
"Detector: No,  aún no hay contagiados en Guaviare ni medios publicaron noticias sobre eso",fake
"No,  este video no es de venezolanos botando comida en Colombia ",fake
Los brotes de nuevas pandemias no ocurren cada 100 años,fake
No es necesario que esté caliente el agua con la que te lavas las manos para prevenir COVID-19,fake
"No,  Vox no ha propuesto dejar de atender a los homosexuales afectados por el COVID-19: es un montaje",fake
No hay pruebas de que la vitamina C prevenga el coronavirus como afirma una supuesta doctora,fake
Audio sobre Declaratoria de Cuarentena Absoluta no es de Andrés Rojas,fake
Es FALSO que Trump intentó comprar una vacuna desarrollada por Alemania,fake
Es falso el audio que advierte llegada de Covid-19 a hospital de Suba,fake
"España no es el país europeo donde el coronavirus es más letal,  es Italia",fake
ESTADOS UNIDOS NO ESTÁ “RECLUTANDO” MÉDICOS PARA ENFRENTAR LA COVID-19,fake
"No,  Caritas no está regalando cupones de 1.000 euros con motivo de esta crisis mundial por el coronavirus: es 'phishing'",fake
"No es obligatorio llevar un justificante para ir por la calle,  pero es útil",fake
El País no ha publicado que los colegios en Bizkaia «cierran hasta septiembre»,fake
“Aquellos que trabajaron entre 1990 y 2019 tienen el derecho de retirar S/ 4.500 de EsSalud”,fake
